"
Dhole Patil College of Engineering, Pune
",Maharashtra,http://www.dpespune.com/,9921822222,Affiliated College,2008
"
Gurukul Vidyapeeth Institute of Engineering and Technology, Patiala
",Punjab,http://www.gurukul.cc,"91-01762-264400,264406,092161-55555,094648-55555",Affiliated College,2010
"
World College of Technology and Management, Gurgaon
",Haryana,http://www.wctmgurgaon.com,"08607788740,08800212216,09717964085",Affiliated College,2007
"
Punjab College of Engineering and Technology, Mohali
",Punjab,http://pgc.edu.in/,+919569888222,Affiliated College,2002
"
City Engineering College, Bangalore
",Karnataka,http://www.cityengineeringcollege.ac.in/,"080-22560313,098804-11361,098804-11363,098804-11369","",2000
"
Sobhasaria Group of Institutions, Sikar
",Rajasthan,http://www.secs.ac.in/,"01572-222650,222651,222652,222653",Affiliated College,1999
"
Jodhpur Institute of Engineering and Technology, Jodhpur
",Rajasthan,http://www.jietjodhpur.com/JGI/JIET/,"0291-2868152,53,5170917,18",Affiliated College,2003
"
Punjab Institute of Engineering and Applied Research, Mohali
",Punjab,http://pgc.edu.in/,18003070069,Affiliated College,2008
"
Indian Institute of Technology, Delhi
",Delhi,http://www.iitd.ac.in,01126597135,Institute of National Importance,1961
"
Indian Institute of Technology, Bombay
",Maharashtra,http://www.iitb.ac.in,91(22)25722545,Institute of National Importance,1958
"
Indian Institute of Technology, Kharagpur
",West Bengal,http://www.iitkgp.ac.in/,91-3222-255221,Institute of National Importance,1951
"
Indian Institute of Technology, Kanpur 
",Uttar Pradesh,http://www.iitk.ac.in/,05122590151,Institute of National Importance,1959
"
Indian Institute of Technology, Madras
",Tamil Nadu,http://www.iitm.ac.in/,"044-22578037,044-22578038,044",Institute of National Importance,1959
"
Delhi Technological University, Delhi
",Delhi,http://www.dce.edu,011-27871018,State University,1941
"
National Institute of Technology, Warangal
",Telangana,http://www.nitw.ac.in/nitw,"91-870-2459191,FAX:+91-870-2459547",Institute of National Importance,2002
"
Manipal Institute of Technology, Manipal
",Karnataka,http://manipal.edu/mit.html,09243777733,Deemed University,1957
"
College of Engineering, Pune
",Maharashtra,http://www.coep.org.in/,91-20-25507000,Affiliated College,1854
"
Punjab Engineering College University of Technology, Chandigarh
",Chandigarh,http://pec.ac.in/Home.asp,"2746074,2753051",Deemed University,2003
"
Indian Institute of Technology, Banaras Hindu University, Varanasi
",Uttar Pradesh,http://iitbhu.ac.in/,"915426702070,6702066,6702067;6702075,915426702076",Institute of National Importance,1919
"
Indian Institute of Technology, Roorkee
",Uttarakhand,http://www.iitr.ac.in/,"01332-28531191-1332-284289,28520091-1332-284010,285875",Institute of National Importance,""
"
National Institute of Technology, Calicut
",Kerala,http://www.nitc.ac.in/,"4952286401,91-4952286401Fax:04952287250",Institute of National Importance,1961
"
International Institute of Information Technology, Hyderabad
",Telangana,https://www.iiit.ac.in/,+91-40-66531000,Deemed University,1998
"
Birla Institute of Technology and Science, Pilani
",Rajasthan,http://www.bits-pilani.ac.in/Pilani/index.aspx,911596245073/4,Deemed University,1964
